Indicator,Group,Subgroup,Year,Value
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,18 - 29 years,2020,18.811111111111114
"Received Counseling or Therapy, Last 4 Weeks",By State,Minnesota,2020,10.122222222222222
"Received Counseling or Therapy, Last 4 Weeks",By State,Michigan,2020,9.088888888888889
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,2020,18.311111111111114
"Received Counseling or Therapy, Last 4 Weeks",By State,Massachusetts,2020,14.255555555555556
"Received Counseling or Therapy, Last 4 Weeks",By State,Maryland,2020,11.444444444444445
"Received Counseling or Therapy, Last 4 Weeks",By State,Maine,2020,10.455555555555556
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Florida,2020,19.22222222222222
"Received Counseling or Therapy, Last 4 Weeks",By State,Louisiana,2020,8.633333333333333
"Received Counseling or Therapy, Last 4 Weeks",By State,Kentucky,2020,8.31111111111111
"Received Counseling or Therapy, Last 4 Weeks",By State,Kansas,2020,8.766666666666667
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,2020,20.711111111111112
"Received Counseling or Therapy, Last 4 Weeks",By State,Iowa,2020,8.766666666666666
"Received Counseling or Therapy, Last 4 Weeks",By State,Indiana,2020,7.8999999999999995
"Received Counseling or Therapy, Last 4 Weeks",By State,Illinois,2020,9.744444444444445
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Hawaii,2020,12.177777777777777
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Wisconsin,2020,24.244444444444444
"Received Counseling or Therapy, Last 4 Weeks",By State,Hawaii,2020,7.933333333333334
"Received Counseling or Therapy, Last 4 Weeks",By State,Georgia,2020,9.322222222222223
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Idaho,2020,22.87777777777778
"Received Counseling or Therapy, Last 4 Weeks",By State,Florida,2020,8.133333333333333
"Received Counseling or Therapy, Last 4 Weeks",By State,District of Columbia,2020,16.700000000000003
"Received Counseling or Therapy, Last 4 Weeks",By State,Mississippi,2020,6.855555555555555
"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,2020,10.088888888888889
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Delaware,2020,21.355555555555554
"Received Counseling or Therapy, Last 4 Weeks",By State,Montana,2020,8.455555555555556
"Received Counseling or Therapy, Last 4 Weeks",By State,Tennessee,2020,8.744444444444445
"Received Counseling or Therapy, Last 4 Weeks",By State,South Dakota,2020,6.933333333333334
"Received Counseling or Therapy, Last 4 Weeks",By State,South Carolina,2020,7.377777777777778
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arizona,2020,19.27777777777778
"Received Counseling or Therapy, Last 4 Weeks",By State,Rhode Island,2020,12.488888888888889
"Received Counseling or Therapy, Last 4 Weeks",By State,Pennsylvania,2020,9.566666666666666
"Received Counseling or Therapy, Last 4 Weeks",By State,Oregon,2020,12.177777777777777
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arkansas,2020,25.455555555555556
"Received Counseling or Therapy, Last 4 Weeks",By State,Oklahoma,2020,7.833333333333333
"Received Counseling or Therapy, Last 4 Weeks",By State,Ohio,2020,9.377777777777778
"Received Counseling or Therapy, Last 4 Weeks",By State,North Dakota,2020,6.077777777777778
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,2020,16.822222222222223
"Received Counseling or Therapy, Last 4 Weeks",By State,North Carolina,2020,9.033333333333333
"Received Counseling or Therapy, Last 4 Weeks",By State,New York,2020,11.766666666666667
"Received Counseling or Therapy, Last 4 Weeks",By State,New Mexico,2020,10.955555555555556
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,2020,20.344444444444445
"Received Counseling or Therapy, Last 4 Weeks",By State,New Jersey,2020,9.555555555555555
"Received Counseling or Therapy, Last 4 Weeks",By State,New Hampshire,2020,10.333333333333334
"Received Counseling or Therapy, Last 4 Weeks",By State,Nevada,2020,8.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,2020,20.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Nebraska,2020,7.7555555555555555
"Received Counseling or Therapy, Last 4 Weeks",By State,Missouri,2020,8.411111111111111
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Illinois,2020,19.333333333333332
"Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,2020,12.766666666666667
"Received Counseling or Therapy, Last 4 Weeks",By State,Colorado,2020,11.100000000000001
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Michigan,2020,22.22222222222222
"Received Counseling or Therapy, Last 4 Weeks",By Age,80 years and above,2020,4.128571428571428
"Received Counseling or Therapy, Last 4 Weeks",By Age,70 - 79 years,2020,3.9444444444444446
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Minnesota,2020,22.422222222222224
"Received Counseling or Therapy, Last 4 Weeks",By Age,60 - 69 years,2020,5.911111111111111
"Received Counseling or Therapy, Last 4 Weeks",By Age,50 - 59 years,2020,8.88888888888889
"Received Counseling or Therapy, Last 4 Weeks",By Age,40 - 49 years,2020,10.844444444444443
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,2020,22.87777777777778
"Received Counseling or Therapy, Last 4 Weeks",By Age,30 - 39 years,2020,13.455555555555556
"Received Counseling or Therapy, Last 4 Weeks",By Age,18 - 29 years,2020,13.322222222222223
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",National Estimate,United States,2020,10.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,2020,23.577777777777776
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Wyoming,2020,9.055555555555555
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Wisconsin,2020,8.466666666666667
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,West Virginia,2020,10.577777777777778
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Montana,2020,21.477777777777778
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Washington,2020,11.922222222222222
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Virginia,2020,10.022222222222222
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Vermont,2020,10.81111111111111
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nebraska,2020,22.055555555555557
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By State,Utah,2020,13.844444444444443
"Received Counseling or Therapy, Last 4 Weeks",By Education,Bachelor's degree or higher,2020,11.966666666666667
"Received Counseling or Therapy, Last 4 Weeks",By Education,High school diploma or GED,2020,6.466666666666667
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Massachusetts,2020,22.799999999999997
"Received Counseling or Therapy, Last 4 Weeks",By Education,Less than a high school diploma,2020,8.600000000000001
"Received Counseling or Therapy, Last 4 Weeks",By State,California,2020,10.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,2020,23.811111111111114
"Received Counseling or Therapy, Last 4 Weeks",By State,Arkansas,2020,7.111111111111111
"Received Counseling or Therapy, Last 4 Weeks",By State,Arizona,2020,8.744444444444445
"Received Counseling or Therapy, Last 4 Weeks",By State,Alaska,2020,9.533333333333333
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Iowa,2020,23.977777777777778
"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,2020,7.844444444444444
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,2020,23.333333333333332
"Received Counseling or Therapy, Last 4 Weeks",By Sex,Male,2020,7.477777777777778
"Received Counseling or Therapy, Last 4 Weeks",By Sex,Female,2020,11.444444444444445
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,2020,17.01111111111111
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,2020,25.62222222222222
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020,9.877777777777778
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020,9.077777777777776
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,2020,24.700000000000003
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020,6.077777777777778
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,Hispanic or Latino,2020,8.988888888888889
"Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,Experienced symptoms of anxiety/depression in past 4 weeks,2020,16.455555555555556
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maine,2020,24.633333333333333
"Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,Did not experience symptoms of anxiety/depression in the past 4 weeks,2020,5.122222222222223
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maryland,2020,18.977777777777778
"Received Counseling or Therapy, Last 4 Weeks",By Education,Some college/Associate's degree,2020,10.11111111111111
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020,12.144444444444444
"Received Counseling or Therapy, Last 4 Weeks",By State,Texas,2020,8.411111111111111
"Received Counseling or Therapy, Last 4 Weeks",By State,Utah,2020,10.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Vermont,2020,13.100000000000001
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Hampshire,2020,27.144444444444446
