Indicator,Group,Subgroup,Time Period Label,Time Period Start Date,Time Period End Date,Value
"Took Prescription Medication for Mental Health, Last 4 Weeks",National Estimate,United States,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,19.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,18 - 29 years,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,18.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,30 - 39 years,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,18.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,40 - 49 years,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,20.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,50 - 59 years,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,21.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,60 - 69 years,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,19.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,70 - 79 years,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,18.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Age,80 years and above,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,13.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sex,Male,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,13.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Sex,Female,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,24.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,Did not experience symptoms of anxiety/depression in the past 4 weeks,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,11.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,Experienced symptoms of anxiety/depression in past 4 weeks,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,33.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,Hispanic or Latino,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,13.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic White, single race","Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,22.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic Black, single race","Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,12.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race","Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,8.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races","Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,22.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,Less than a high school diploma,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,17.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,High school diploma or GED,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,18.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,Some college/Associate's degree,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,21.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,Bachelor's degree or higher,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,19.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alabama,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,22.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,16.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arizona,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,18.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arkansas,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,24.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,15.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,17.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,18.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Delaware,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,19.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,18.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Florida,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,19.0
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,21.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Hawaii,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,12.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Idaho,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,22.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Illinois,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,17.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Iowa,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,21.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,26.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maine,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,23.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maryland,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,17.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Massachusetts,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,19.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Michigan,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,20.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Minnesota,"Aug 19 - Aug 31, 2020",08/19/2020,08/31/2020,20.6
